Date,Open,High,Low,Close,Volume
2014-07-30,19.6614825789,19.7086617829,19.4688394118,19.5081539154,10548000
2014-07-31,19.3626886530,19.4216619087,19.1267986298,19.1267986298,12917600
2014-08-01,19.0874857122,19.2093630938,19.0206507447,19.1425266266,11244000
2014-08-04,19.1975642537,19.3902074059,19.0953441528,19.3705501556,9932600
2014-08-05,19.2054256878,19.3351662373,19.1150011381,19.1700420380,10275200
2014-08-06,19.1228683193,19.3391011136,19.0835538111,19.3115806580,12717400
2014-08-07,19.3980754429,19.4570487082,19.0914180631,19.1425266266,10167400
2014-08-08,19.1857680262,19.3548230720,19.1150007280,19.3430290222,8538200
2014-08-11,19.3941391859,19.4688373345,19.3155086874,19.3233718872,10983400
2014-08-12,19.3194397956,19.4098643451,19.2801252957,19.3862762451,14594400
2014-08-13,19.4727690756,19.5120850765,19.3705504727,19.4924278259,8602600
2014-08-14,19.5238791269,19.5356731773,19.4727690756,19.4924278259,7214600
2014-08-15,19.5631970981,19.6378967633,19.3941435134,19.5514030457,8879000
2014-08-18,19.6300310986,19.7440452576,19.6300310986,19.7440452576,10696200
2014-08-19,19.7754981156,19.8344713748,19.7519100117,19.8030185699,6270000
2014-08-20,19.7754892825,19.8541197597,19.7558320381,19.8305301666,9600800
2014-08-21,19.8580594787,19.8659226799,19.7479776612,19.8030185699,2725800
2014-08-22,19.7990877844,19.7990877844,19.6850736161,19.7243881226,3614400
2014-08-25,19.8384039415,19.8384039415,19.7637057731,19.7990894318,3126200
2014-08-26,19.8108795517,19.8659204543,19.8030163514,19.8187427521,3818400
2014-08-27,19.8501955534,19.8659204543,19.7794282502,19.8187427521,6599200
2014-08-28,19.7833625950,19.8580607616,19.7125952793,19.8344726562,3672200
2014-08-29,19.8737880373,19.8934452925,19.8108839205,19.8659248352,5321000
2014-09-02,19.8619935471,19.8973772057,19.7597734223,19.7990894318,13216800
2014-09-03,19.8777093528,19.9170238415,19.8187361200,19.8305301666,6255600
2014-09-04,19.8462565620,19.9563383303,19.7833524802,19.8305301666,11554000
2014-09-05,19.8148117306,19.9209611847,19.7597693288,19.9170303345,6153600
2014-09-08,19.8816543848,19.9484908630,19.8030238515,19.8384075165,4607600
2014-09-09,19.8148155429,19.8187463939,19.6339649016,19.6772117615,6321000
2014-09-10,19.6418281034,19.6890073140,19.5042258217,19.6772117615,12728000
2014-09-11,19.5867827133,19.6929336633,19.5749886632,19.6496868134,8525400
2014-09-12,19.6300324471,19.6850733553,19.4845669756,19.5592651367,7705000
2014-09-15,19.5749960303,19.6379001540,19.4885022978,19.5867900848,6382000
2014-09-16,19.5396094798,19.7597731305,19.5238830763,19.6772117615,6635000
2014-09-17,19.7833624263,19.9013074515,19.7165274619,19.7951564789,10319800
2014-09-18,19.8737806694,19.9602743603,19.8541234215,19.9288215637,8969800
2014-09-19,20.0094011744,20.0765475996,19.8869585795,19.9225063324,12151000
2014-09-22,20.0291566913,20.0884034694,19.8988158887,19.9146137238,7674400
2014-09-23,19.8948663618,19.9304141293,19.8040224021,19.8119220734,5931000
2014-09-24,19.8237672295,20.0370537954,19.8000697266,20.0173053741,8558200
2014-09-25,19.9422607251,19.9501588882,19.7131748199,19.7131748199,9410000
2014-09-26,19.7289746765,19.9264619075,19.7131753364,19.9067134857,9455000
2014-09-29,19.8158613190,19.8790586579,19.6934202415,19.8237609863,18208000
2014-09-30,19.8040219522,19.8395697188,19.5512385035,19.5867862701,15665800
2014-10-01,19.5512316344,19.5512316344,19.0772620813,19.1246585846,22576200
2014-10-02,19.0812077429,19.1286042339,18.8126251157,19.0772571564,18147000
2014-10-03,19.1878584155,19.2313043369,19.1009635593,19.1325607300,10886200
2014-10-06,19.2076000479,19.2549965405,19.0654090631,19.1286048889,9574800
2014-10-07,19.0733085779,19.0733085779,18.7889266107,18.7928771973,12121400
2014-10-08,18.7928780425,19.0654097689,18.5835406375,19.0377616882,21046800
2014-10-09,19.0377652117,19.0456648800,18.5124485687,18.5716953278,29256400
2014-10-10,18.5756445774,18.6427910054,18.2833643805,18.2873134613,30357400
2014-10-13,18.2675636850,18.4216034404,17.7896450832,17.8172931671,33150600
2014-10-14,17.9357868604,18.1293249730,17.7540990039,17.8725910187,22002600
2014-10-15,17.5487080736,18.0700740232,17.4144167528,17.9950294495,37910800
2014-10-16,17.6790534546,18.2754656415,17.6474562861,18.1727714539,40441000
2014-10-17,18.3663093204,18.5519477677,18.3268124837,18.4137058258,22297400
2014-10-20,18.3742002937,18.7059786879,18.2991557368,18.6941299438,34382600
2014-10-21,18.8047332332,19.1246615636,18.8007826450,19.0970134735,14263600
2014-10-22,19.2352422865,19.2747391006,18.9311119962,18.9429607391,18426400
2014-10-23,19.0812091364,19.1365052978,18.8758223179,18.9271678925,59893600
2014-10-24,18.9627155833,19.0891087462,18.7889274328,19.0693588257,13400600
2014-10-27,18.8995211883,18.9390195255,18.5953922784,18.6704368591,70286800
2014-10-28,18.7889326680,18.8718769330,18.7138880721,18.8560791016,15180600
2014-10-29,18.8521235610,18.8797716421,18.4966475874,18.6230392456,47813800
2014-10-30,18.5519451809,18.8639737636,18.5519451809,18.7652301788,13382800
2014-10-31,18.9232278123,19.1246641399,18.8560828720,19.1167659760,16805200
2014-11-03,19.1246590722,19.1957545823,18.9153231295,18.9824695587,41656400
2014-11-04,18.9311189405,18.9745663560,18.6980840356,18.7849788666,26076200
2014-11-05,18.8244742849,19.0022130137,18.8126255385,18.9666652679,12231800
2014-11-06,18.9034766430,19.1602091210,18.9034766430,19.1207122803,7653000
2014-11-07,19.1404542642,19.2431484262,19.1286055173,19.2115497589,10205000
2014-11-10,19.2036507416,19.2747462387,19.1562542458,19.2628974915,7286000
2014-11-11,19.2550038423,19.3734958723,19.2313048336,19.3576965332,7220400
2014-11-12,19.3419021005,19.4524944804,19.3142540056,19.4050979614,7708000
2014-11-13,19.4248416965,19.5630821380,19.3023990864,19.4090423584,8238600
2014-11-14,19.4327387617,19.5077833475,19.3853422605,19.4682865143,6337400
2014-11-17,19.4524857402,19.4880334901,19.3932389880,19.4643344879,5254200
2014-11-18,19.4682880735,19.7131717738,19.4682880735,19.6973724365,10036200
2014-11-19,19.6815794920,19.7329250907,19.6025842929,19.6697292328,9681800
2014-11-20,19.5709793005,19.7724170685,19.5117340503,19.7724170685,7717000
2014-11-21,20.0252036051,20.1476447123,19.9383087496,20.0133533478,19118400
2014-11-24,20.0449489274,20.0449489274,19.8909091668,19.9225063324,4283800
2014-11-25,19.9264560019,19.9857012496,19.8356120834,19.8514099121,4812800
2014-11-26,19.7921658008,19.8790606438,19.7171197066,19.8672103882,3762000
2014-11-28,19.6736727092,19.6934211252,19.3734913626,19.4169387817,9735400
2014-12-01,19.3576989645,19.4445938339,19.1128152042,19.2155094147,24024600
2014-12-02,19.2155004824,19.3734892999,19.1720530679,19.3300418854,11861000
2014-12-03,19.3734929547,19.6420756525,19.3260964512,19.6144275665,14694400
2014-12-04,19.5630816798,19.7210720435,19.5472838488,19.6736755371,11708000
2014-12-05,19.6697257188,19.7921683308,19.6223292105,19.6578769684,6722200
2014-12-08,19.6341753752,19.6381259626,19.3181961837,19.3458442688,11003800
2014-12-09,19.2431484501,19.4090369335,19.1641532885,19.3971881866,12046800
2014-12-10,19.3181959959,19.3379444127,18.9508697185,18.9982662201,15161200
2014-12-11,19.0575102963,19.2194497017,18.9745660535,19.0140628815,7843600
2014-12-12,18.8205294595,18.9271712142,18.4729515897,18.4848003387,17337800
2014-12-15,18.5519469214,18.6072430930,18.3110123110,18.3860569000,17990000
2014-12-16,18.3189101477,18.6980851491,18.2399149790,18.2438640594,19044000
2014-12-17,18.3110093125,18.7928784544,18.3110093125,18.7415313721,21216000
2014-12-18,19.0338109424,19.1799525179,18.8639718731,19.1681022644,14030200
2014-12-19,19.3366314228,19.4717692939,19.2531627993,19.4041996002,10772600
2014-12-22,19.4638154004,19.4638154004,19.3048291708,19.4161186218,6613400
2014-12-23,19.4956083839,19.6227967393,19.4558625914,19.5671520233,14191200
2014-12-24,19.4956163368,19.5711354960,19.4677939675,19.4995918274,3757600
2014-12-26,19.6188227665,19.6307462010,19.5393296653,19.5671520233,2594000
2014-12-29,19.5194567691,19.6227967393,19.5194567691,19.5671520233,4346400
2014-12-30,19.5234387061,19.5870329097,19.4916423624,19.4995918274,4335200
2014-12-31,19.5433136056,19.5433136056,19.3048356967,19.3088111877,5968800
2015-01-02,19.3088094053,19.4240728581,19.2213668059,19.3366317749,10469600
2015-01-05,19.1895701148,19.2452148573,18.7603095890,18.8437767029,10877600
2015-01-06,18.8994187673,18.9590389923,18.5774737976,18.6768398285,10109000
