Portfolio,Cost bps,Start date,End date,CAGR,Annualized volatility,"Sharpe ratio, 0% risk-free",Max drawdown,Calmar ratio,Final equity
Cross-asset Top 1,5.0000000000,2006-08-07,2026-07-07,0.0725802462,0.2123494045,0.4373731043,-0.5206275248,0.1394091606,40365.7667338115
Sector Top 1,5.0000000000,2006-08-07,2026-07-07,0.0923737150,0.2266995199,0.5043261436,-0.5876199514,0.1571997595,58098.9298587846
Cross-asset Top 3,5.0000000000,2006-08-07,2026-07-07,0.1118843868,0.1388484374,0.8350721273,-0.2815330905,0.3974111412,82657.7159920913
Sector Top 3,5.0000000000,2006-08-07,2026-07-07,0.0977743450,0.1864378867,0.5949594544,-0.5048559301,0.1936678153,64094.8389250386
SPY buy and hold,5.0000000000,2006-08-07,2026-07-07,0.1130387771,0.1945462696,0.6490065055,-0.5518943391,0.2048195987,84383.6706697903
