Date,Open,High,Low,Close,Volume
2023-08-03,74.4211019571,74.4388652317,73.3377725467,74.3323059082,6454100
2023-08-04,74.1369446903,74.7940503044,73.4709642143,73.7284774780,5148300
2023-08-07,73.9238390946,74.6874973138,73.7817599959,74.6519775391,3906500
2023-08-08,74.0570282895,74.3500613170,73.4620873730,74.1724624634,3854800
2023-08-09,73.9327134973,74.5720558298,73.6663186005,74.1635818481,2960200
2023-08-10,74.3234273450,74.9361316245,73.6840917019,73.8794403076,4451100
2023-08-11,73.6041699186,74.1014332286,73.3732947642,73.9948806763,3654700
2023-08-14,73.8705729034,73.8705729034,73.2845067030,73.5065002441,3376700
2023-08-15,72.9293109874,73.1779494281,72.5208437110,72.6806793213,3398400
2023-08-16,72.7339598717,72.7872361484,71.7394264669,71.7838211060,3703700
2023-08-17,71.8548517230,72.3166019793,71.1799963864,71.2066345215,4069800
2023-08-18,70.7004886430,71.5795809604,70.5939293297,71.4286270142,3307400
2023-08-21,71.2599339603,71.2865721040,70.1854859247,70.7715454102,3789800
2023-08-22,71.0201475547,71.2598975000,70.7537527046,70.9757461548,3380200
2023-08-23,71.2155054365,72.1834005290,71.2155054365,72.0946044922,3257800
2023-08-24,72.2988580795,73.0891545793,71.7571932730,71.8193511963,4523800
2023-08-25,71.9170218994,72.3698905963,71.5618308973,71.8726272583,4252000
2023-08-28,72.1656410176,72.9381808045,72.1656410176,72.5474700928,3448800
2023-08-29,72.5208298673,73.4532052118,72.2633166124,73.4265670776,3515300
2023-08-30,73.4443310027,73.8883180165,73.3644165921,73.6929626465,3042100
2023-08-31,73.7018525500,73.8172867477,73.1513061523,73.1513061523,3410200
2023-09-01,73.6130539995,73.8528040249,73.0802708962,73.2756195068,3403900
2023-09-05,73.0625067943,73.2134607631,72.3965262290,72.4231643677,3578000
2023-09-06,72.3254854439,72.5652422371,71.7305444417,72.2722091675,3681300
2023-09-07,72.0413234101,73.0447382995,72.0413234101,72.7250671387,5056100
2023-09-08,72.7783609677,72.9737163659,72.2722159701,72.4409332275,3317400
2023-09-11,72.5386014076,72.6717920937,72.0857327509,72.4497985840,2813600
2023-09-12,72.2988351773,72.5652300640,71.9347693917,72.4142761230,2959200
2023-09-13,72.4053922503,72.4764317878,71.4463788172,71.6239776611,3989000
2023-09-14,72.0324589747,73.0802686480,72.0324589747,72.9204330444,3926600
2023-09-15,72.5563608079,72.8760320166,72.3610054275,72.6451568604,3784500
2023-09-18,72.6451425064,72.6451425064,71.8104516482,71.9969253540,3117700
2023-09-19,71.8726253893,72.2011714686,71.4641581188,71.6683883667,2742500
2023-09-20,72.2544686438,72.6185345710,71.7216786631,71.7305603027,3827800
2023-09-21,71.1977500425,71.3043093531,69.2619666024,69.2886047363,6202200
2023-09-22,69.3152567133,69.6970858508,68.7114340488,68.7647171021,5061200
2023-09-25,68.4894493629,68.7647259788,68.1875413791,68.7025680542,3928200
2023-09-26,68.2940952560,68.4361675974,67.2107657070,67.4505157471,5220800
2023-09-27,67.6902602912,68.0632077413,66.6424507112,66.9976348877,6657600
2023-09-28,67.2459909273,67.9184508365,67.1114975773,67.6405029297,6659600
2023-09-29,68.5371104490,68.8329875856,67.4432413262,67.8377532959,6630600
2023-10-02,67.6136142976,67.8736261427,66.1700662933,66.5914688110,7564300
2023-10-03,66.2238605117,66.4838791960,65.0851577620,65.2913818359,7121000
2023-10-04,65.6410640422,66.0983387766,64.8610079472,66.0893707275,8748100
2023-10-05,65.9459161262,66.5376773935,65.6679613297,66.4569854736,5306900
2023-10-06,65.8652036191,67.0487327473,65.2286090799,66.6362915039,5919900
2023-10-09,66.2059319490,67.6136215918,66.1342080739,67.3625640869,3848200
2023-10-10,67.3805032163,68.2771166807,67.0666898719,67.6853485107,4585700
2023-10-11,68.2322680389,68.9047279871,68.0977746811,68.8599014282,6128600
2023-10-12,68.6447071878,68.7254059362,67.5060113875,67.8556900024,4429000
2023-10-13,68.1784886524,68.3757447091,67.3805032163,67.6853485107,5860800
2023-10-16,68.1605524967,68.6805899474,67.4701631396,68.4923019409,4381800
2023-10-17,67.8557024560,69.2902825293,67.8557024560,68.3936691284,5419300
2023-10-18,67.8825866351,68.1157079896,66.8873454053,66.9411468506,4853700
2023-10-19,66.3583505686,66.9411505669,65.2196478756,65.3541412354,8238400
2023-10-20,65.4527768414,65.8652181759,64.8699767753,64.9148101807,5874400
2023-10-23,64.3140864896,65.1748345903,64.0988943340,64.2782211304,6906600
2023-10-24,64.5382320594,65.2824159424,64.5202959616,65.1030960083,5755200
2023-10-25,64.4396065534,64.6816891579,63.6147170389,63.7043838501,6254500
2023-10-26,64.0271689104,65.3631210180,63.9823355022,64.9237823486,8144400
2023-10-27,65.1658548001,65.1658548001,63.6685122335,63.8836975098,12043000
2023-10-30,64.2692487814,64.7623888876,63.3098727171,64.2871780396,7041000
2023-10-31,64.7982273242,65.4527579132,64.1795689216,65.3810272217,5964700
